Year	C	Java	C++	Objective-C	C#	Javascript	PHP	Python	VisualBasic.NET
2001	20.24	26.492	14.2	0.00	0.385	1.547	1.897	1.25	0.00
2001	20.773	25.028	16.111	0.00	0.429	1.723	1.378	1.135	0.00
2001	20.747	24.66	16.124	0.00	0.384	1.66	1.553	1.197	0.00
2001	20.772	24.817	15.852	0.00	0.391	1.629	1.552	1.17	0.00
2001	19.751	25.676	16.097	0.034	0.424	1.511	1.778	1.284	0.00
2001	19.212	24.369	15.673	0.101	0.764	1.466	4.874	1.234	0.00
2001	20.136	24.195	14.963	0.035	0.591	1.456	7.274	1.043	0.00
2002	18.825	24.063	15.182	0.034	0.616	2.725	8.274	1.017	0.00
2002	19.888	24.005	15.537	0.038	0.744	1.476	7.442	0.987	0.00
2002	19.852	24.409	15.912	0.038	0.741	1.468	7.029	0.989	0.00
2002	19.82	25.049	15.372	0.031	1.178	1.366	5.049	1.069	0.00
2002	19.987	25.195	14.857	0.031	1.164	1.363	5.215	1.057	0.00
2002	19.573	24.196	14.179	0.036	1.464	1.433	5.178	1.125	0.00
2002	19.251	24.534	14.939	0.03	1.36	1.154	6.498	1.081	0.00
2002	18.162	22.886	14.769	0.038	1.464	2.022	5.349	1.217	0.00
2002	18.695	24.482	15.897	0.038	1.653	1.908	4.96	1.081	0.00
2002	18.727	24.201	15.035	0.038	1.78	1.978	5.275	1.187	0.00
2002	17.505	24.116	13.644	0.037	2.38	2.486	7.298	1.005	0.00
2002	17.259	24.227	13.186	0.037	2.455	2.423	7.611	1.002	0.00
2003	18.249	24.791	14.634	0.05	1.986	2.915	4.493	1.033	0.00
2003	18.54	24.775	15.533	0.047	1.976	2.806	4.009	0.974	0.00
2003	17.213	24.569	14.572	0.049	2.377	2.626	4.606	0.988	0.00
2003	18.017	24.664	15.801	0.047	1.884	3.256	4.533	1.007	0.00
2003	18.501	23.108	15.584	0.067	1.935	1.715	4.783	1.161	0.00
2003	18.516	22.337	16.719	0.081	1.776	1.686	3.833	1.285	0.00
2003	17.969	23.209	16.577	0.082	2.001	1.791	4.679	1.297	0.00
2003	17.776	22.242	17.531	0.081	2.062	1.897	5.436	1.425	0.00
2003	18.309	21.902	16.173	0.098	1.94	1.656	5.795	1.486	0.00
2003	17.002	23.084	16.312	0.119	1.899	1.918	3.57	1.766	0.00
2003	18.473	25.008	17.422	0.072	1.705	1.738	5.736	1.097	0.00
2003	18.6	23.573	16.083	0.08	1.799	1.745	6.311	1.125	0.00
2004	18.195	22.564	15.71	0.074	2.177	2.138	7.257	1.006	0.00
2004	18.928	23.173	14.5	0.069	2.237	2.063	7.631	1.018	0.00
2003	17.75	24.24	15.99	0.075	2.137	1.783	9.761	1.008	0.00
2004	17.951	18.692	12.27	0.068	1.877	1.778	7.171	4.565	0.00
2004	18.29	17.539	12.548	0.069	1.649	1.45	8.71	6.579	0.00
2004	17.144	17.055	13.442	0.066	1.666	1.61	10.323	4.963	0.00
2004	16.335	16.997	15.306	0.065	1.633	1.681	10.427	4.704	0.00
2004	17.122	15.896	14.916	0.059	1.634	1.51	8.231	5.597	0.00
2004	18.172	17.05	15.016	0.087	1.644	1.267	7.421	4.438	0.00
2004	17.992	14.804	13.865	0.083	1.504	1.195	7.586	5.20	0.00
2004	19.696	16.332	11.914	0.098	1.947	1.595	11.448	3.029	0.00
2004	20.709	17.478	11.927	0.092	2.203	1.703	9.482	2.842	0.00
2005	19.82	18.34	11.337	0.081	2.363	1.779	10.278	2.506	0.00
2005	19.465	18.871	11.632	0.077	2.527	1.65	9.41	2.424	0.00
2005	18.63	16.981	10.191	0.063	2.82	1.642	8.724	2.697	0.00
2005	18.522	17.397	9.903	0.083	2.767	1.443	9.201	2.48	0.00
2005	19.368	18.569	9.722	0.097	2.783	1.387	7.974	2.802	0.00
2005	19.846	19.659	11.06	0.105	3.142	1.779	9.172	2.525	0.00
2005	19.473	21.206	10.514	0.076	3.485	1.921	7.873	2.883	0.00
2005	19.16	22.442	11.168	0.066	3.29	1.768	8.895	3.032	0.00
2005	18.773	21.871	11.82	0.071	3.462	2.036	9.671	2.882	0.00
2005	18.773	21.871	11.82	0.071	3.462	2.036	9.671	2.882	0.00
2005	19.632	22.128	11.027	0.065	3.31	1.838	9.629	2.678	0.00
2005	19.632	22.128	11.027	0.065	3.31	1.838	9.629	2.678	0.00
2006	19.008	22.255	11.465	0.067	3.555	1.538	9.402	2.605	0.00
2006	18.33	22.43	11.295	0.064	3.972	1.512	8.916	2.669	0.00
2006	17.794	21.889	11.159	0.067	3.146	1.733	9.948	3.093	0.00
2006	17.688	21.275	10.9	0.07	3.948	1.567	10.88	2.759	0.00
2006	17.69	21.316	10.935	0.072	3.271	2.191	10.22	3.042	0.00
2006	18.253	21.128	10.67	0.087	3.238	1.456	9.593	3.464	0.00
2006	17.829	21.853	9.779	0.09	3.401	2.108	10.53	3.017	0.00
2006	17.43	22.377	10.254	0.08	2.683	2.019	9.639	3.071	0.00
2006	18.059	21.532	10.753	0.09	2.992	2.442	9.128	3.144	0.00
2006	17.664	21.172	11.063	0.089	3.065	2.202	9.862	3.466	0.00
2006	17.198	20.4	11.055	0.09	3.023	2.31	9.209	3.641	0.00
2006	16.616	19.907	10.409	0.097	3.171	2.562	8.537	3.762	0.00
2007	15.807	19.16	10.425	0.095	3.521	2.845	7.943	3.502	0.00
2007	16.104	18.978	10.768	0.108	3.189	2.982	8.847	3.566	0.00
2007	15.633	18.044	11.109	0.113	3.365	3.485	9.458	3.897	0.00
2007	14.937	18.36	10.718	0.112	3.551	3.137	8.639	3.814	0.00
2007	15.152	19.14	10.114	0.106	3.656	3.072	8.738	3.779	0.00
2007	15.967	20.025	11.118	0.088	3.483	2.616	8.871	3.161	0.00
2007	16.363	21.014	10.502	0.08	3.71	2.515	8.653	3.024	0.00
2007	15.699	21.768	10.111	0.074	3.987	2.575	9.696	2.749	0.00
2007	14.908	21.701	9.938	0.084	3.583	2.722	10.204	3.025	0.00
2007	14.591	21.616	9.584	0.091	3.74	2.685	9.498	3.433	0.00
2007	13.969	20.542	8.75	0.092	3.917	2.928	8.687	4.227	0.00
2007	13.173	20.049	7.871	0.086	3.994	2.733	8.393	4.697	0.00
2008	13.916	20.849	8.73	0.071	4.856	3.203	9.195	5.538	0.00
2008	14.859	21.483	9.274	0.069	4.51	2.334	9.89	4.763	0.00
2008	14.859	21.483	9.274	0.069	4.51	2.334	9.89	4.763	0.00
2008	14.513	21.89	9.806	0.096	4.058	2.927	9.206	4.899	0.00
2008	15.513	20.89	10.806	0.096	4.058	2.927	10.206	4.899	0.00
2008	15.513	20.89	10.806	0.096	4.058	2.927	10.206	4.899	0.00
2008	15.945	21.345	10.693	0.085	4.00	2.757	9.525	4.973	0.00
2008	16.178	21.571	10.057	0.104	3.697	2.892	9.349	4.975	0.00
2008	15.379	20.715	10.716	0.105	4.334	3.13	9.243	5.012	0.00
2008	15.565	20.949	10.954	0.086	3.767	2.67	8.612	4.565	0.00
2008	15.276	20.299	10.357	0.149	4.026	2.925	8.94	5.14	0.00
2008	15.017	17.917	10.096	0.229	4.578	2.972	9.128	4.169	0.00
2009	15.931	19.022	10.116	0.138	5.609	3.36	8.882	4.731	0.00
2009	15.837	19.401	9.633	0.181	5.062	3.54	8.779	4.567	0.00
2009	15.862	19.797	10.357	0.177	4.321	3.607	9.485	5.185	0.00
2009	15.472	19.341	10.741	0.134	4.059	3.678	9.888	6.08	0.00
2009	16.128	19.537	11.068	0.134	4.266	3.548	9.921	5.548	0.00
2009	16.779	20.147	10.594	0.123	4.536	4.021	9.675	4.756	0.00
2009	17.319	20.452	10.419	0.509	4.54	3.513	9.269	4.435	0.00
2009	17.22	19.527	10.501	0.612	4.443	2.812	9.39	4.489	0.00
2009	16.861	19.383	9.988	0.585	4.186	2.995	10.156	3.93	0.00
2009	16.843	18.65	9.879	1.164	4.417	3.025	10.355	3.901	0.00
2009	17.315	18.373	10.002	0.893	5.346	2.916	10.176	4.672	0.00
2009	16.285	17.061	9.175	1.159	6.258	3.515	9.77	5.185	0.00
2010	16.215	17.482	9.709	1.379	5.767	2.707	10.071	4.453	0.00
2010	16.602	17.348	9.447	1.779	5.015	2.636	10.001	4.314	0.00
2010	17.279	17.509	9.61	1.97	4.264	2.651	9.908	4.23	0.00
2010	18.058	18.051	9.707	2.288	4.435	2.469	9.662	4.205	0.00
2010	18.186	17.957	10.378	2.363	4.779	2.084	9.073	4.097	0.00
2010	18.186	18.673	10.469	2.498	5.73	2.432	8.566	4.217	0.00
2010	18.48	17.994	10.469	2.498	4.986	2.401	9.18	4.217	0.00
2010	17.866	17.994	9.658	3.15	4.986	2.401	9.18	4.223	0.00
2010	17.147	17.915	9.812	3.368	5.016	1.665	8.37	4.583	0.328
2010	17.177	18.166	9.802	3.706	4.963	1.659	8.323	4.86	0.325
2010	16.717	18.509	9.497	3.191	5.706	1.664	7.813	5.679	0.323
2010	16.076	17.999	9.014	3.242	6.687	1.509	7.511	6.482	0.259
2011	15.822	17.773	8.783	3.011	6.226	1.589	7.835	6.265	0.263
2011	14.986	18.482	8.187	2.571	6.809	2.558	6.973	7.038	0.588
2011	15.262	19.711	8.754	3.518	7.21	1.866	6.566	5.737	0.563
2011	16.162	19.043	9.225	4.386	7.185	1.513	6.584	4.931	0.342
2011	16.17	18.16	9.146	5.01	7.539	1.394	6.508	4.583	0.479
2011	16.278	18.58	9.83	4.437	6.844	1.501	6.602	3.899	0.434
2011	17.28	19.251	9.017	5.181	6.221	2.242	6.179	3.583	0.484
2011	17.39	19.409	8.433	5.494	6.042	1.557	6.134	3.415	0.464
2011	18.002	18.761	8.849	6.158	6.819	1.469	6.596	4.00	0.309
2011	17.707	17.913	9.072	6.245	6.723	2.191	6.818	3.944	0.481
2011	17.322	17.874	8.084	5.983	7.319	2.565	6.096	3.617	0.533
2011	17.057	17.561	8.252	6.805	8.205	2.199	6.001	3.492	0.364
2012	16.967	17.468	8.052	6.917	8.763	2.316	5.703	3.213	0.479
2012	16.523	17.05	7.853	7.062	8.653	2.465	5.641	3.148	0.796
2012	17.087	17.11	8.047	7.737	8.244	3.386	5.555	3.291	0.784
2012	17.555	17.026	8.896	8.236	7.348	2.879	5.288	3.665	0.978
2012	17.346	16.599	9.825	8.309	6.823	2.135	5.711	3.819	1.274
2012	17.725	16.265	9.358	9.094	7.026	1.474	5.287	3.848	1.216
2012	18.331	16.087	9.118	9.335	6.668	1.454	5.012	4.00	0.917
2012	18.937	16.352	9.333	9.54	6.59	1.365	5.524	3.876	0.877
2012	19.295	16.267	9.147	9.77	6.596	1.328	5.614	3.861	0.84
2012	19.822	17.193	9.26	9.477	6.53	1.261	5.669	3.895	0.599
2012	19.224	17.455	9.698	10.383	5.591	1.278	5.732	4.062	0.769
2012	18.696	17.567	9.203	11.116	5.547	1.321	5.541	3.848	0.889
2013	17.855	17.417	9.14	10.283	6.196	1.976	5.546	4.173	1.043
2013	17.08	18.387	8.758	9.803	6.68	1.423	5.074	4.949	1.007
2013	17.141	18.156	9.115	10.23	6.597	1.37	4.809	4.388	0.888
2013	17.862	17.681	9.714	9.598	6.15	1.509	5.428	4.442	1.095
2013	18.729	16.914	9.198	10.428	6.119	1.536	5.784	4.322	1.131
2013	17.809	16.656	8.819	10.356	5.783	1.654	5.987	4.183	1.067
2013	17.628	15.906	8.749	10.248	6.212	1.844	7.186	4.035	1.254
2013	15.974	15.978	9.371	8.082	6.117	2.093	6.694	3.603	1.32
2013	16.975	16.154	8.664	8.561	5.564	2.015	6.43	3.169	1.844
2013	17.246	16.107	8.664	8.992	5.718	2.038	6.094	3.107	1.933
2013	18.155	16.521	8.369	9.406	6.024	2.05	5.379	3.11	1.969
2013	17.89	17.311	8.268	10.202	5.62	1.852	5.281	2.21	1.688
2014	17.944	16.523	7.562	11.095	5.85	1.576	4.608	2.373	1.557
2014	18.334	17.316	6.892	11.341	6.45	1.929	4.219	2.157	1.798
2014	17.535	16.406	6.313	12.143	5.572	1.899	3.698	2.021	1.862
2014	17.631	17.348	6.137	12.875	4.82	1.75	2.773	1.993	1.748
2014	16.926	16.907	5.986	11.791	3.745	1.788	3.386	3.057	1.264
