Year	C	Java	C++	Objective-C	C#	Javascript	PHP	Python	VisualBasic.NET
2001	20.24	26.492	14.2	0.00	0.385	1.547	1.897	1.25	0.00
2002	19.573	24.196	14.179	0.036	1.464	1.433	5.178	1.125	0.00
2003	18.516	22.337	16.719	0.081	1.776	1.686	3.833	1.285	0.00
2004	16.335	16.997	15.306	0.065	1.633	1.681	10.427	4.704	0.00
2005	19.846	19.659	11.06	0.105	3.142	1.779	9.172	2.525	0.00
2006	18.253	21.128	10.67	0.087	3.238	1.456	9.593	3.464	0.00
2007	15.967	20.025	11.118	0.088	3.483	2.616	8.871	3.161	0.00
2008	15.513	20.89	10.806	0.096	4.058	2.927	10.206	4.899	0.00
2009	16.779	20.147	10.594	0.123	4.536	4.021	9.675	4.756	0.00
2010	18.186	18.673	10.469	2.498	5.73	2.432	8.566	4.217	0.00
2011	16.278	18.58	9.83	4.437	6.844	1.501	6.602	3.899	0.434
2012	17.725	16.265	9.358	9.094	7.026	1.474	5.287	3.848	1.216
2013	17.809	16.656	8.819	10.356	5.783	1.654	5.987	4.183	1.067
2014	16.191	16.113	6.425	10.934	3.944	2.00	2.848	2.71	1.914
